model,feature,mean_importance,std_importance
catboost,email_days,0.14600269236681165,0.015445787816674243
catboost,ea_score,0.0980476645631136,0.010770403912966457
catboost,type,0.00725521349480387,0.00261717112457011
catboost,device_browser_type,0.00659611796528492,0.003689101050351468
catboost,identity_rank,0.003146685554850448,0.0022870774502116494
catboost,area_code,0.001237920725338082,0.0016379401607565618
catboost,volume_score,0.0005857364123106557,0.0004941508373939203
catboost,ip_address_loc_country,8.081684393177469e-05,1.4778845952376493e-05
catboost,is_valid,0.0,0.0
catboost,is_connected,0.0,0.0
catboost,personal_device,0.0,0.0
catboost,reputation_level,-6.897603148408038e-05,0.00011491024246535278
catboost,receiving_mail,-0.00015995644776063412,0.001037242117888429
catboost,result_number,-0.0005007365283531629,0.0002577502546078682
xgboost,email_days,0.19450781181728868,0.02049244864319847
xgboost,ea_score,0.10602613366180362,0.00793013418388792
xgboost,type,0.005459344006529832,0.001897091742275968
xgboost,device_browser_type,0.0024943729147325344,0.0020900728266504244
xgboost,identity_rank,0.002361030204485903,0.002311038145063755
xgboost,volume_score,0.0004964943427083091,0.00027197360345358783
xgboost,area_code,0.00011337793474219815,7.152141533575739e-05
xgboost,is_valid,0.0,0.0
xgboost,is_connected,0.0,0.0
xgboost,personal_device,0.0,0.0
xgboost,ip_address_loc_country,0.0,0.0
xgboost,reputation_level,-1.5046735811319323e-05,1.1315310609499373e-05
xgboost,result_number,-0.00025001299978126833,0.0007399781037336414
xgboost,receiving_mail,-0.00030217540085082374,0.0006071478272286277
