model,configuration,selected,cv_mean_pr_auc,cv_pr_auc_std,validation_pr_auc,validation_roc_auc,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_pr_auc_delta_tuned_minus_default,improvement_assessment,optimization_seconds,validation_training_seconds,validation_inference_seconds
xgboost,default,False,0.9500534293153173,0.009519291376782351,0.9630263922351264,0.9557098229781326,0.9110576923076923,0.9099039685294458,0.9361702127659575,0.8756218905472637,0.9048843187660668,0.0039827944468913135,marginal,0.0,0.3198038999980781,0.011292499999399297
xgboost,tuned,True,0.9532460675688721,0.010221409875142974,0.9670091866820177,0.9608469281499479,0.9158653846153846,0.9148790929075552,0.9368421052631579,0.8855721393034826,0.9104859335038363,0.0039827944468913135,marginal,61.96952679999231,0.29308439999294933,0.013896100004785694
catboost,default,False,0.9456943742308107,0.014034922023060777,0.9576263105183009,0.9500867754251996,0.9038461538461539,0.9024412819622816,0.9351351351351351,0.8606965174129353,0.8963730569948186,0.00465039481446472,marginal,0.0,14.721499099992798,0.008421000005910173
catboost,tuned,True,0.9510378592018908,0.008613915055139433,0.9622767053327657,0.9532106907323846,0.90625,0.905414786532454,0.921875,0.8805970149253731,0.9007633587786259,0.00465039481446472,marginal,6381.0549856,41.0783289999963,0.00899849999404978
