model,feature_configuration,n_features,feature_names,validation_pr_auc,validation_roc_auc,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1
xgboost,simple_imputation,14,ea_score|identity_rank|reputation_level|volume_score|result_number|email_days|is_valid|is_connected|personal_device|receiving_mail|area_code|device_browser_type|ip_address_loc_country|type,0.9630263922351264,0.9557098229781326,0.9110576923076923,0.9099039685294458,0.9361702127659575,0.8756218905472637,0.9048843187660668
catboost,simple_imputation,14,ea_score|identity_rank|reputation_level|volume_score|result_number|email_days|is_valid|is_connected|personal_device|receiving_mail|area_code|device_browser_type|ip_address_loc_country|type,0.9576263105183009,0.9500867754251996,0.9038461538461539,0.9024412819622816,0.9351351351351351,0.8606965174129353,0.8963730569948186
xgboost,imputation_plus_missing_indicators,20,ea_score|identity_rank|reputation_level|volume_score|result_number|email_days|is_valid|is_connected|personal_device|receiving_mail|ea_score_missing|identity_rank_missing|is_connected_missing|receiving_mail_missing|device_browser_type_missing|ip_address_loc_country_missing|area_code|device_browser_type|ip_address_loc_country|type,0.9617310186374636,0.9524933472174014,0.9038461538461539,0.9024412819622816,0.9351351351351351,0.8606965174129353,0.8963730569948186
catboost,imputation_plus_missing_indicators,20,ea_score|identity_rank|reputation_level|volume_score|result_number|email_days|is_valid|is_connected|personal_device|receiving_mail|ea_score_missing|identity_rank_missing|is_connected_missing|receiving_mail_missing|device_browser_type_missing|ip_address_loc_country_missing|area_code|device_browser_type|ip_address_loc_country|type,0.9614572561167992,0.9524470669906283,0.9110576923076923,0.9099039685294458,0.9361702127659575,0.8756218905472637,0.9048843187660668
xgboost,indicators_plus_vendor_missing_count,21,ea_score|identity_rank|reputation_level|volume_score|result_number|email_days|vendor_missing_count|is_valid|is_connected|personal_device|receiving_mail|ea_score_missing|identity_rank_missing|is_connected_missing|receiving_mail_missing|device_browser_type_missing|ip_address_loc_country_missing|area_code|device_browser_type|ip_address_loc_country|type,0.962109446791827,0.9522850861969224,0.90625,0.9050908249450422,0.9308510638297872,0.8706467661691543,0.8997429305912596
catboost,indicators_plus_vendor_missing_count,21,ea_score|identity_rank|reputation_level|volume_score|result_number|email_days|vendor_missing_count|is_valid|is_connected|personal_device|receiving_mail|ea_score_missing|identity_rank_missing|is_connected_missing|receiving_mail_missing|device_browser_type_missing|ip_address_loc_country_missing|area_code|device_browser_type|ip_address_loc_country|type,0.9613649055297383,0.9509429596205021,0.9086538461538461,0.907578387134097,0.9312169312169312,0.8756218905472637,0.9025641025641026
