model,trial_number,state,cv_mean_pr_auc,cv_pr_auc_std,parameters_json,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda,param_iterations,param_depth,param_l2_leaf_reg,param_random_strength,param_bagging_temperature
xgboost,0,COMPLETE,0.9446188208769353,0.007537526835477058,"{""colsample_bytree"": 0.662397808134481, ""gamma"": 0.2904180608409973, ""learning_rate"": 0.17254716573280354, ""max_depth"": 7, ""min_child_weight"": 6, ""n_estimators"": 500, ""reg_alpha"": 2.1423021757741068, ""reg_lambda"": 0.3849583075868115, ""subsample"": 0.6624074561769746}",500.0,0.17254716573280354,7.0,6.0,0.6624074561769746,0.662397808134481,0.2904180608409973,2.1423021757741068,0.3849583075868115,,,,,
xgboost,1,COMPLETE,0.9464146994333209,0.01246690513157277,"{""colsample_bytree"": 0.6727299868828402, ""gamma"": 0.9170225492671691, ""learning_rate"": 0.010636066512540286, ""max_depth"": 8, ""min_child_weight"": 9, ""n_estimators"": 800, ""reg_alpha"": 0.0033205591037519565, ""reg_lambda"": 0.18071456341395586, ""subsample"": 0.6849356442713105}",800.0,0.010636066512540286,8.0,9.0,0.6849356442713105,0.6727299868828402,0.9170225492671691,0.0033205591037519565,0.18071456341395586,,,,,
xgboost,2,COMPLETE,0.9515984703283259,0.010855029729177443,"{""colsample_bytree"": 0.7465447373174767, ""gamma"": 2.28034992108518, ""learning_rate"": 0.023927528765580644, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 550, ""reg_alpha"": 0.8431013932082461, ""reg_lambda"": 0.007224419004573213, ""subsample"": 0.7168578594140873}",550.0,0.023927528765580644,6.0,2.0,0.7168578594140873,0.7465447373174767,2.28034992108518,0.8431013932082461,0.007224419004573213,,,,,
xgboost,3,COMPLETE,0.9294548150376558,0.017088752118156966,"{""colsample_bytree"": 0.6260206371941118, ""gamma"": 4.7444276862666666, ""learning_rate"": 0.05898602410432694, ""max_depth"": 3, ""min_child_weight"": 7, ""n_estimators"": 600, ""reg_alpha"": 6.732248920775331, ""reg_lambda"": 2.9987567784441875, ""subsample"": 0.6682096494749166}",600.0,0.05898602410432694,3.0,7.0,0.6682096494749166,0.6260206371941118,4.7444276862666666,6.732248920775331,2.9987567784441875,,,,,
xgboost,4,COMPLETE,0.9468686962686437,0.012029444168658008,"{""colsample_bytree"": 0.798070764044508, ""gamma"": 0.17194260557609198, ""learning_rate"": 0.013399060561509796, ""max_depth"": 7, ""min_child_weight"": 5, ""n_estimators"": 450, ""reg_alpha"": 3.5204810455260365, ""reg_lambda"": 0.01297240393071079, ""subsample"": 0.6488152939379115}",450.0,0.013399060561509796,7.0,5.0,0.6488152939379115,0.798070764044508,0.17194260557609198,3.5204810455260365,0.01297240393071079,,,,,
xgboost,5,COMPLETE,0.9299075183221392,0.016588723051306986,"{""colsample_bytree"": 0.9878338511058234, ""gamma"": 3.8756641168055728, ""learning_rate"": 0.02544166090938368, ""max_depth"": 6, ""min_child_weight"": 6, ""n_estimators"": 750, ""reg_alpha"": 4.9830438374949075, ""reg_lambda"": 7.057961339161952, ""subsample"": 0.6739417822102108}",750.0,0.02544166090938368,6.0,6.0,0.6739417822102108,0.9878338511058234,3.8756641168055728,4.9830438374949075,7.057961339161952,,,,,
xgboost,6,COMPLETE,0.9501827197270785,0.008636872820789256,"{""colsample_bytree"": 0.7301321323053057, ""gamma"": 1.9433864484474102, ""learning_rate"": 0.15826541904647565, ""max_depth"": 3, ""min_child_weight"": 2, ""n_estimators"": 700, ""reg_alpha"": 0.002273762810253686, ""reg_lambda"": 3.6679624869306977, ""subsample"": 0.6180909155642152}",700.0,0.15826541904647565,3.0,2.0,0.6180909155642152,0.7301321323053057,1.9433864484474102,0.002273762810253686,3.6679624869306977,,,,,
xgboost,7,COMPLETE,0.947132196925652,0.013002204540124533,"{""colsample_bytree"": 0.6298202574719083, ""gamma"": 4.9344346830025865, ""learning_rate"": 0.023200867504756827, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 500, ""reg_alpha"": 0.7264803074826727, ""reg_lambda"": 0.007156194022692475, ""subsample"": 0.9208787923016158}",500.0,0.023200867504756827,6.0,2.0,0.9208787923016158,0.6298202574719083,4.9344346830025865,0.7264803074826727,0.007156194022692475,,,,,
xgboost,8,COMPLETE,0.944925736639757,0.013216695117474898,"{""colsample_bytree"": 0.6296178606936361, ""gamma"": 1.7923286427213632, ""learning_rate"": 0.11506408247250169, ""max_depth"": 7, ""min_child_weight"": 8, ""n_estimators"": 200, ""reg_alpha"": 0.00037961668958008145, ""reg_lambda"": 5.15505999557513, ""subsample"": 0.9085081386743783}",200.0,0.11506408247250169,7.0,8.0,0.9085081386743783,0.6296178606936361,1.7923286427213632,0.00037961668958008145,5.15505999557513,,,,,
xgboost,9,COMPLETE,0.9398763565623405,0.015949948521216166,"{""colsample_bytree"": 0.8918424713352255, ""gamma"": 3.1877873567760657, ""learning_rate"": 0.026946865572417687, ""max_depth"": 3, ""min_child_weight"": 4, ""n_estimators"": 700, ""reg_alpha"": 2.7293781650374753, ""reg_lambda"": 0.10740155209032688, ""subsample"": 0.7300733288106989}",700.0,0.026946865572417687,3.0,4.0,0.7300733288106989,0.8918424713352255,3.1877873567760657,2.7293781650374753,0.10740155209032688,,,,,
xgboost,10,COMPLETE,0.9460786866044776,0.014529400554769945,"{""colsample_bytree"": 0.830083226726109, ""gamma"": 2.7363391555997434, ""learning_rate"": 0.057392139471489155, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 1000, ""reg_alpha"": 0.09311257629928524, ""reg_lambda"": 0.00167374933691122, ""subsample"": 0.8102109831542077}",1000.0,0.057392139471489155,5.0,10.0,0.8102109831542077,0.830083226726109,2.7363391555997434,0.09311257629928524,0.00167374933691122,,,,,
xgboost,11,COMPLETE,0.9422692661746093,0.014168692182396794,"{""colsample_bytree"": 0.7370063974951027, ""gamma"": 1.9610630999381886, ""learning_rate"": 0.07860697841677766, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.02254172277786017, ""reg_lambda"": 19.48683188295339, ""subsample"": 0.7737425087025644}",300.0,0.07860697841677766,4.0,1.0,0.7737425087025644,0.7370063974951027,1.9610630999381886,0.02254172277786017,19.48683188295339,,,,,
xgboost,12,COMPLETE,0.9490344411718048,0.009039554510618294,"{""colsample_bytree"": 0.7407245842967923, ""gamma"": 1.8424322633577441, ""learning_rate"": 0.16467465081927424, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 900, ""reg_alpha"": 0.00014720732627022265, ""reg_lambda"": 0.5958063832204389, ""subsample"": 0.6083722002970473}",900.0,0.16467465081927424,4.0,3.0,0.6083722002970473,0.7407245842967923,1.8424322633577441,0.00014720732627022265,0.5958063832204389,,,,,
xgboost,13,COMPLETE,0.9532460675688721,0.010221409875142974,"{""colsample_bytree"": 0.7371303839678691, ""gamma"": 2.7534578556254363, ""learning_rate"": 0.04254033663089104, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 650, ""reg_alpha"": 0.12222917194266188, ""reg_lambda"": 0.021551594821793474, ""subsample"": 0.6011006228450518}",650.0,0.04254033663089104,5.0,1.0,0.6011006228450518,0.7371303839678691,2.7534578556254363,0.12222917194266188,0.021551594821793474,,,,,
xgboost,14,COMPLETE,0.9514200275291221,0.011169011005560649,"{""colsample_bytree"": 0.8124496121405841, ""gamma"": 2.9623050680955565, ""learning_rate"": 0.03319827082760567, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.2791123895905838, ""reg_lambda"": 0.023987569296546187, ""subsample"": 0.8524337374155859}",400.0,0.03319827082760567,5.0,1.0,0.8524337374155859,0.8124496121405841,2.9623050680955565,0.2791123895905838,0.023987569296546187,,,,,
