model,model_family_type,validation_pr_auc,validation_roc_auc,test_pr_auc,test_roc_auc,test_precision,test_recall,test_f1,test_balanced_accuracy,test_accuracy,validation_minus_test_pr_auc
Tuned XGBoost,task-specific tuned gradient boosting,0.9670091866820176,0.960846928149948,0.9482705843924212,0.9381533502187428,0.9175824175824177,0.8267326732673267,0.8697916666666666,0.8784826157034308,0.8800959232613909,0.01873860228959645
Tuned CatBoost,task-specific tuned gradient boosting,0.9622767053327655,0.9532106907323846,0.9524062366311112,0.945705733364034,0.9184782608695652,0.8366336633663366,0.8756476683937824,0.8834331107529357,0.8848920863309353,0.009870468701654311
TabPFN-3,"pretrained tabular foundation model (default, no HPO)",0.9695110966739664,0.962721277334259,0.9554499967891266,0.9466037301404558,0.9560439560439561,0.8613861386138614,0.90625,0.91208841814414,0.9136690647482014,0.014061099884839834
TabICLv2,"pretrained tabular foundation model (default, no HPO)",0.9719452255967672,0.9663079949091752,0.959293090356883,0.9509210223347916,0.9615384615384616,0.8663366336633663,0.9114583333333334,0.9168892470642414,0.9184652278177458,0.012652135239884177
