model,feature_configuration,n_features,feature_names,validation_pr_auc,validation_roc_auc,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1
xgboost,in_house_only,5,ea_score|identity_rank|area_code|device_browser_type|ip_address_loc_country,0.888119227890907,0.9031701955339582,0.8365384615384616,0.8366770797176906,0.824390243902439,0.8407960199004975,0.8325123152709359
catboost,in_house_only,5,ea_score|identity_rank|area_code|device_browser_type|ip_address_loc_country,0.8953908315172612,0.9013305565197269,0.8365384615384616,0.8366770797176906,0.824390243902439,0.8407960199004975,0.8325123152709359
xgboost,vendor_only,9,reputation_level|volume_score|result_number|email_days|is_valid|is_connected|personal_device|receiving_mail|type,0.9419770347848746,0.9230822631030893,0.9014423076923077,0.8996297581858151,0.9444444444444444,0.845771144278607,0.8923884514435696
catboost,vendor_only,9,reputation_level|volume_score|result_number|email_days|is_valid|is_connected|personal_device|receiving_mail|type,0.9354115634474491,0.9160823788036561,0.8918269230769231,0.8893555478421844,0.9534883720930233,0.8159203980099502,0.8793565683646113
xgboost,in_house_plus_vendor,14,ea_score|identity_rank|reputation_level|volume_score|result_number|email_days|is_valid|is_connected|personal_device|receiving_mail|area_code|device_browser_type|ip_address_loc_country|type,0.9630263922351264,0.9557098229781326,0.9110576923076923,0.9099039685294458,0.9361702127659575,0.8756218905472637,0.9048843187660668
catboost,in_house_plus_vendor,14,ea_score|identity_rank|reputation_level|volume_score|result_number|email_days|is_valid|is_connected|personal_device|receiving_mail|area_code|device_browser_type|ip_address_loc_country|type,0.9576263105183009,0.9500867754251996,0.9038461538461539,0.9024412819622816,0.9351351351351351,0.8606965174129353,0.8963730569948186
